"id","func_name","func_description","assert_text","gt_harness_assertions","suggested_taxonomy","claude_taxonomy","claude_disagrees_with_auto","claude_reasoning","your_taxonomy","notes"
"P092","aws_linked_list_swap_contents","swaps all contents between two linked lists","old_b.tail.prev == old_b_head","assert(aws_linked_list_is_valid(&a)); | assert(aws_linked_list_is_valid(&b)); | assert(old_b.tail.prev == old_b_head); | assert(a.head.next == old_b.head.next); | assert(a.tail.prev == old_b.tail.prev); | assert(old_a.tail.prev == old_a_head); | assert(b.head.next == old_a.head.next); | assert(b.tail.prev == old_a.tail.prev);","frame_condition","validity_predicate","","pre-swap structural validity of list b","",""
"P093","aws_linked_list_swap_contents","swaps all contents between two linked lists","a.head.next == old_b.head.next","assert(aws_linked_list_is_valid(&a)); | assert(aws_linked_list_is_valid(&b)); | assert(old_b.tail.prev == old_b_head); | assert(a.head.next == old_b.head.next); | assert(a.tail.prev == old_b.tail.prev); | assert(old_a.tail.prev == old_a_head); | assert(b.head.next == old_a.head.next); | assert(b.tail.prev == old_a.tail.prev);","frame_condition","validity_predicate","","postcondition: a.head.next points to old b's next","",""
"P094","aws_linked_list_swap_contents","swaps all contents between two linked lists","a.tail.prev == old_b.tail.prev","assert(aws_linked_list_is_valid(&a)); | assert(aws_linked_list_is_valid(&b)); | assert(old_b.tail.prev == old_b_head); | assert(a.head.next == old_b.head.next); | assert(a.tail.prev == old_b.tail.prev); | assert(old_a.tail.prev == old_a_head); | assert(b.head.next == old_a.head.next); | assert(b.tail.prev == old_a.tail.prev);","frame_condition","validity_predicate","","postcondition: a.tail.prev points to old b's prev","",""
"P095","aws_linked_list_swap_contents","swaps all contents between two linked lists","list check failed","assert(aws_linked_list_is_valid(&a)); | assert(aws_linked_list_is_valid(&b)); | assert(old_b.tail.prev == old_b_head); | assert(a.head.next == old_b.head.next); | assert(a.tail.prev == old_b.tail.prev); | assert(old_a.tail.prev == old_a_head); | assert(b.head.next == old_a.head.next); | assert(b.tail.prev == old_a.tail.prev);","validity_predicate","validity_predicate","","list parameter check","",""
"P096","aws_ring_buffer_release","releases a previously acquired ring buffer slice","aws_ring_buffer_is_valid(&_arg_)","assert(aws_ring_buffer_is_valid(&ring_buf)); | assert(ring_buf.allocator == ring_buf_old.allocator); | assert(ring_buf.allocation == ring_buf_old.allocation); | assert(new_head == old_head); | assert(new_tail == buf_old.buffer + buf_old.capacity); | assert(ring_buf.allocation_end == ring_buf_old.allocation_end); | assert(buf.allocator == NULL); | assert(buf.buffer == NULL);","validity_predicate","validity_predicate","","named validity predicate","",""
"P097","aws_ring_buffer_release","releases a previously acquired ring buffer slice","ring_buf.allocator == ring_buf_old.allocator","assert(aws_ring_buffer_is_valid(&ring_buf)); | assert(ring_buf.allocator == ring_buf_old.allocator); | assert(ring_buf.allocation == ring_buf_old.allocation); | assert(new_head == old_head); | assert(new_tail == buf_old.buffer + buf_old.capacity); | assert(ring_buf.allocation_end == ring_buf_old.allocation_end); | assert(buf.allocator == NULL); | assert(buf.buffer == NULL);","frame_condition","frame_condition","","allocator == ring_buf_old.allocator: unchanged","",""
"P098","aws_ring_buffer_release","releases a previously acquired ring buffer slice","ring_buf.allocation == ring_buf_old.allocation","assert(aws_ring_buffer_is_valid(&ring_buf)); | assert(ring_buf.allocator == ring_buf_old.allocator); | assert(ring_buf.allocation == ring_buf_old.allocation); | assert(new_head == old_head); | assert(new_tail == buf_old.buffer + buf_old.capacity); | assert(ring_buf.allocation_end == ring_buf_old.allocation_end); | assert(buf.allocator == NULL); | assert(buf.buffer == NULL);","frame_condition","frame_condition","","allocation pointer unchanged","",""
"P099","aws_ring_buffer_release","releases a previously acquired ring buffer slice","new_head == old_head","assert(aws_ring_buffer_is_valid(&ring_buf)); | assert(ring_buf.allocator == ring_buf_old.allocator); | assert(ring_buf.allocation == ring_buf_old.allocation); | assert(new_head == old_head); | assert(new_tail == buf_old.buffer + buf_old.capacity); | assert(ring_buf.allocation_end == ring_buf_old.allocation_end); | assert(buf.allocator == NULL); | assert(buf.buffer == NULL);","frame_condition","frame_condition","","head pointer unchanged by release","",""
"P100","aws_ring_buffer_release","releases a previously acquired ring buffer slice","new_tail == old_buf.buffer + old_buf.capacity","assert(aws_ring_buffer_is_valid(&ring_buf)); | assert(ring_buf.allocator == ring_buf_old.allocator); | assert(ring_buf.allocation == ring_buf_old.allocation); | assert(new_head == old_head); | assert(new_tail == buf_old.buffer + buf_old.capacity); | assert(ring_buf.allocation_end == ring_buf_old.allocation_end); | assert(buf.allocator == NULL); | assert(buf.buffer == NULL);","frame_condition","validity_predicate","","new tail position after release = old buffer end","",""
"P101","aws_string_destroy_secure","securely destroys an aws_string (zeroes before freeing)","old_str.bytes[i] == 0","assert(old_str.bytes[i] == 0);","frame_condition","validity_predicate","YES","bytes ZEROED after secure destroy; auto says frame, but bytes were modified","",""
